domain,processName,filePattern,espApplication,jobName,espVerb
financebatch,PostJournalEntry,GL_Journals_NA_PS_Headcount_US,EFGL1080,EFGL1080.USPGMC02,RELEASE
financebatch,PostJournalEntry,GL_Journals_NA_PS_Headcount_CA,EFGL2080,EFGL2080.CAPGMC02,RELEASE
financebatch,PostJournalEntry,GL_Journals_NA_GSS,EFGL1090,EFGL1090.99PGMC02,RELEASE
financebatch,PostJournalEntry,GL_Journals_NA_GLSI_Receiver,EFGL1000,EFGL1000.99PGMC02,RELEASE
financebatch,PostJournalEntry,GL_Journals_NA_GLSI_INV,EFGL1100,EFGL1100.99PGMC02,RELEASE
financebatch,StoreMailCheck,MAILCHECK,EFAR1REF,#FAR1REF.99BPEL01,RELEASE
financebatch,ProcessAREDIInvoiceEBSOutbound,XX_AR_EDI_US,EFAR1INV,#FAR1INV.99BPEL01,RELEASE
financebatch,ProcessAREDIInvoiceEBSOutbound,XX_AR_EDI_CA,EFAR2INV,#FAR2INV.99BPEL01,RELEASE
financebatch,ProcessODAmexL3CreditSettlement,ODAMEXCPC,EFAR1AI4,#FAR1AI4.99BPEL01,RELEASE
financebatch,Process_SummaryBill_eBillCentral,XX_AR_EBILL_US,EFAR1INV,#FAR1INV.99BPEL11,RELEASE
financebatch,Process_SummaryBill_eBillCentral,XX_AR_EBILL_CA,EFAR2INV,#FAR2INV.99BPEL11,RELEASE
financebatch,FTPBAIReconciliation,BAI_AMSAVINGS,EFCE1535,EFCE1535.USPGMD02,RELEASE
financebatch,FTPBAIReconciliation,BAI_CAIMPERIAL,EFCE2500,EFCE2500.CAPGMD02,RELEASE
financebatch,ARCreditCheck_MoveAS400Files,XX_AR_CREDIT_VIK_CCO315F,EFAR1CRD,#FAR1CRD.99BPEL12,RELEASE
financebatch,ARCreditCheck_MoveAS400Files,XX_AR_CREDIT_BKP_FAR410MF,EFAR1CRD,#FAR1CRD.99BPEL22,RELEASE
financebatch,ProcessTDMDCNData,ProcessTDMDCNData,EFAP1810,#FAP1845.USPGMC50,RELEASE
financebatch,FTPTDMSupplier,TDMsupplout,EFAP1810,EFAP1840.USOFTP02,RELEASE
      
